Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
MSFT,
,"{'1. open': '93.3000', '2. high': '93.3000', '3. low': '90.2800', '4. close': '92.3100', '5. volume': '33729257'}"
,"{'1. open': '93.5500', '2. high': '95.1500', '3. low': '93.1000', '4. close': '94.2600', '5. volume': '42529043'}"
,"{'1. open': '97.6000', '2. high': '97.9000', '3. low': '93.9100', '4. close': '95.8200', '5. volume': '48272780'}"
,"{'1. open': '96.3300', '2. high': '96.3964', '3. low': '93.1500', '4. close': '93.5200', '5. volume': '41523605'}"
,"{'1. open': '93.2100', '2. high': '95.2900', '3. low': '92.7900', '4. close': '95.0000', '5. volume': '31408927'}"
,"{'1. open': '94.9900', '2. high': '95.1700', '3. low': '93.1900', '4. close': '93.5100', '5. volume': '27471002'}"
,"{'1. open': '92.9600', '2. high': '94.9250', '3. low': '92.4500', '4. close': '94.0700', '5. volume': '31142497'}"
,"{'1. open': '93.3200', '2. high': '95.3700', '3. low': '92.9200', '4. close': '95.1600', '5. volume': '22531325'}"
,"{'1. open': '95.1700', '2. high': '96.7100', '3. low': '95.1000', '4. close': '96.2200', '5. volume': '24242019'}"
,"{'1. open': '95.8456', '2. high': '96.1600', '3. low': '95.0631', '4. close': '95.8100', '5. volume': '23484589'}"
,"{'1. open': '96.0100', '2. high': '96.9700', '3. low': '95.0500', '4. close': '96.9400', '5. volume': '27327410'}"
,"{'1. open': '97.4600', '2. high': '97.9500', '3. low': '97.0500', '4. close': '97.9100', '5. volume': '22388119'}"
,"{'1. open': '97.8000', '2. high': '97.8700', '3. low': '97.0400', '4. close': '97.7000', '5. volume': '16778316'}"
,"{'1. open': '97.9200', '2. high': '98.6900', '3. low': '97.3100', '4. close': '98.0300', '5. volume': '19454124'}"
,"{'1. open': '97.2400', '2. high': '97.8500', '3. low': '96.3400', '4. close': '97.3200', '5. volume': '24594010'}"
,"{'1. open': '97.3600', '2. high': '97.4000', '3. low': '96.6150', '4. close': '97.1500', '5. volume': '17384742'}"
,"{'1. open': '96.7600', '2. high': '97.5401', '3. low': '95.8300', '4. close': '96.1800', '5. volume': '17246716'}"
,"{'1. open': '96.0100', '2. high': '96.9300', '3. low': '96.0100', '4. close': '96.3600', '5. volume': '17865840'}"
,"{'1. open': '97.0000', '2. high': '98.0100', '3. low': '96.8000', '4. close': '97.6000', '5. volume': '19422467'}"
,"{'1. open': '97.6800', '2. high': '98.1700', '3. low': '97.2000', '4. close': '97.5000', '5. volume': '15441189'}"
,"{'1. open': '96.7100', '2. high': '98.7300', '3. low': '96.3200', '4. close': '98.6600', '5. volume': '21251222'}"
,"{'1. open': '98.7250', '2. high': '98.9400', '3. low': '96.8100', '4. close': '98.3100', '5. volume': '26649287'}"
,"{'1. open': '98.3000', '2. high': '98.9800', '3. low': '97.8600', '4. close': '98.3600', '5. volume': '18363918'}"
,"{'1. open': '97.8400', '2. high': '98.8800', '3. low': '97.2300', '4. close': '98.0100', '5. volume': '28670981'}"
,"{'1. open': '98.3100', '2. high': '99.2500', '3. low': '97.9100', '4. close': '98.9500', '5. volume': '22158528'}"
,"{'1. open': '99.2900', '2. high': '99.9900', '3. low': '98.6100', '4. close': '98.8400', '5. volume': '34140891'}"
,"{'1. open': '99.2798', '2. high': '100.8600', '3. low': '99.1700', '4. close': '100.7900', '5. volume': '28655624'}"
,"{'1. open': '101.2600', '2. high': '101.8600', '3. low': '100.8510', '4. close': '101.6700', '5. volume': '27281623'}"
,"{'1. open': '102.0000', '2. high': '102.3300', '3. low': '101.5300', '4. close': '102.1900', '5. volume': '23514402'}"
,"{'1. open': '102.4800', '2. high': '102.6000', '3. low': '101.9000', '4. close': '102.4900', '5. volume': '21122917'}"
,"{'1. open': '102.6500', '2. high': '102.6900', '3. low': '100.3800', '4. close': '100.8800', '5. volume': '28232197'}"
,"{'1. open': '101.0924', '2. high': '101.9500', '3. low': '100.5400', '4. close': '101.6300', '5. volume': '22165128'}"
,"{'1. open': '101.3700', '2. high': '101.5900', '3. low': '100.6700', '4. close': '101.0500', '5. volume': '23490894'}"
,"{'1. open': '101.1000', '2. high': '101.4493', '3. low': '100.7500', '4. close': '101.3100', '5. volume': '18325228'}"
,"{'1. open': '101.7200', '2. high': '102.0100', '3. low': '100.5600', '4. close': '100.8500', '5. volume': '29492875'}"
